"ID","Q","1","2","3","4","ANS","TEXT","LINK","","","","","","","","","","","","","","","","","",""
"1","You have a content management system running on an Amazon EC2 instance that is approaching 100% CPU utilization. Which option will reduce load on the Amazon EC2 instance?

","(A)Create a load balancer, and register the Amazon EC2 instance with it","(B)Create a CloudFront distribution, and configure the Amazon EC2 instance as the origin","(C)Create an Auto Scaling group from the instance using the CreateAutoScalingGroup action
","(D)Create a launch configuration from the instance using the Create Launch Configuration
action","C","(A)Just by creating a load balancer can't help you reduce load.                                                      (B)CloudFront simply used to deliver content, not for load reducing.                                                                                                               (C)to create auto scaling group using the CreateAutoScalingGroup action to spread the load on all available EC2 instances.
(D)There's no way using CreateAutoScalingGroup could help you.","https://docs.aws.amazon.com/autoscaling/ec2/userguide/attach-instance-asg.html","","","","","","","","","","","","","","","","","",""
"2","A company is deploying a new two-tier web application in AWS. The company has limited staff and requires high availability, and the application requires complex queries and table joins. Which configuration provides the solution for the company's requirements?
","(A)MySQL Installed on two Amazon EC2 Instances in a single Availability Zone","(B)Amazon RDS for MySQL with Multi-AZ","(C)Amazon ElastiCache
","(D)Amazon DynamoDB","B","(A) is incorrect because it does not support the high availability requirement (single AZ)
(C) is incorrect because ElastiCache is not a database
(D) is incorrect because DynamoDB does not support table joins:","https://docs.aws.amazon.com/quicksight/latest/user/joining-tables.html","","","","","","","","","","","","","","","","","",""
"3","You are deploying an application to collect votes for a very popular television show. Millions of users will submit votes using mobile devices. The votes must be collected into a durable, scalable, and highly available data store for real-time public tabulation. Which service should you use?
","(A)Amazon DynamoDB","(B)Amazon Redshift","(C) Amazon Kinesis
","(D)Amazon Simple Queue Service","A","The main function of DynamoDB is to store data. Where as the main function of ""Kinesis"" is to analyze data in real-time. The requirement in the question is to find an AWS service which provides highly available ""datastore"".
","https://aws.amazon.com/kinesis/?sc_channel=PS&sc_campaign=acquisition_TW&sc_publisher=google&sc_medium=kinesis_b&sc_content=kinesis_p&sc_detail=amazon%20kinesis&sc_category=kinesis&sc_segment=165247724765&sc_matchtype=p&sc_country=TW&s_kwcid=AL!4422!3!165247724765!p!!g!!amazon%20kinesis&ef_id=Ww1PFwAAAsfZyufW:20180916111106:s","","","","","","","","","","","","","","","","","",""
"4","You are building an automated transcription service in which Amazon EC2 worker instances process an uploaded audio file and generate a text file. You must store both of these files in the same durable storage until the text file is retrieved. You do not know what the storage capacity requirements are. Which storage option is both cost-efficient and scalable?
","(A)Multiple Amazon EBS volume with snapshots","(B)A single Amazon Glacier vault","(C)A single Amazon S3 bucket
","(D)Multiple instance stores","C","The AWS Simple Storage service is the best option for this scenario. The AWS documentation provides the following information on the Simple Storage service Amazon S3 is object storage built to store and retrieve any amount of data from anywhere - web sites and mobile apps, corporate applications, and data from IoT sensors or devices. It is designed to deliver 99.999999999% durability, and stores data for millions of applications used by market leaders in every industry For more information on the Simple Storage Service, please refer to the below link https://aws.amazon.com/s3/","https://docs.aws.amazon.com/AmazonS3/latest/dev/UsingBucket.html","","","","","","","","","","","","","","","","","",""
"5","A user has a weighing plant. The user measures the weight of some goods every 5 minutes and sends data to AWS CloudWatch for monitoring and tracking. Which of the below mentioned parameters is mandatory for the user to include in the request list?","(A)Value","(B)(B)Namespace","(C)Metric Name","(D)Timezone","B","AWS CloudWatch supports the custom metrics. The user can always capture the custom data and upload the data to CloudWatch using CLI or APIs. The user can publish the data to CloudWatch as single data points or as an aggregated set of data points called a statistic set. The user has to always include the namespace as part of the request. The user can supply a file instead of the metric name. If the user does not supply the timezone, it accepts the current time. 
6. point it will have parameters, such as value. However, if the user is sending as an aggregate it will have parameters, such as statistic-values. ","https://aws.amazon.com/cloudwatch/","","","","","","","","","","","","","","","","","",""
"6","A user has created a VPC with CIDR 20.0.0.0/24. 
The user has created a public subnet with CIDR
20.0.0.0/25 and a private subnet with CIDR 20.0.0.128/25. 
The user has launched one instance each in the private and public subnets.
Which of the below mentioned options cannot be the correct IP address (private IP) assigned to an
instance in the public or private subnet? ","(A)20.0.0.255","(B).20.0.0.122","(C)20.0.0.132 ","(D)20.0.0.55 ","A","When the user creates a subnet in VPC, he specifies the CIDR block for the subnet. In this case the user has created a VPC with the CIDR block 20.0.0.0/24, which supports 256 IP addresses (20.0.0.0 to 20.0.0.255.. The public subnet will have IP addresses between 20.0.0.0 – 20.0.0.127 and the private subnet will have IP addresses between 20.0.0.128 – 20.0.0.255. AWS reserves the first four IP addresses and the last IP address in each subnet’s CIDR block. These are not available for the user to use. Thus, the instance cannot have an IP address of 20.0.0.255","https://docs.aws.amazon.com/vpc/latest/userguide/VPC_Subnets.html","","","","","","","","","","","","","","","","","",""
"7","Which of the following requires a custom CloudWatch metric to monitor?","(A)Data transfer of an EC2 instance","(B)Disk usage activity of an EC2 instance","(C)Memory Utilization of an EC2 instance
","(D)CPU Utilization of an EC2mstance","B","The instance memory and disk space usage metrics are reported as Amazon CloudWatch custom metrics.","https://aws.amazon.com/blogs/aws/new-amazon-cloudwatch-monitoring-scripts/","","","","","","","","","","","","","","","","","",""
"8","You have been asked to propose a multi-region deployment of a web-facing application where a
controlled portion of your traffic is being processed by an alternate region.
Which configuration would achieve that goal?","(A)Route53 record sets with weighted routing policy","((B)Route53 record sets with latency based routing policy","(C)Auto Scaling with scheduled scaling actions set
","(D)Elastic Load Balancing with health checks enabled","A","Use the weighted routing policy when you have multiple resources that perform the same function (for example, web servers that serve the same website) and you want Amazon Route 53 to route traffic to those resources in proportions that you specify (for example, one quarter to one server and three quarters to the other). For more information about weighted resource record sets, see Weighted Routing.","https://docs.aws.amazon.com/Route53/latest/DeveloperGuide/Welcome.html","","","","","","","","","","","","","","","","","",""
"9","You are running a web-application on AWS consisting of the following components an Elastic　Load Balancer (ELB) an Auto-Scaling Group of EC2 instances running Linux/PHP/Apache, and　Relational DataBase Service (RDS) MySQL.Which security measures fall into AWS's responsibility?","(A)Protect the EC2 instances against unsolicited access by enforcing the principle of least-privilege access","(B)Protect against IP spoofing or packet sniffing","(C)Assure all communication between EC2 instances and ELB is encrypted
","(D)Install latest security patches on ELB. RDS and EC2 instances","B","AWS network provides protection against traditional network security issues:

1 DDOS - AWS uses proprietary DDoS mitigation techniques. Additionally, AWS’s networks are multi-homed across a number of providers to achieve Internet access diversity.

2 Man in the Middle attacks - AWS APIs are available via SSL-protected endpoints which provide server authentication

3 IP spoofing - AWS-controlled, host-based firewall infrastructure will not permit an instance to send traffic with a source IP or MAC address other than its own.

4 Port Scanning - Unauthorized port scans by Amazon EC2 customers are a violation of the AWS Acceptable Use Policy. When unauthorized port scanning is detected by AWS, it is stopped and blocked. Penetration/Vulnerability testing can be performed only on your own instances, with mandatory advance approval, and must not violate the AWS Acceptable Use Policy.

5 Packet Sniffing by other tenants - It is not possible for a virtual instance running in promiscuous mode to receive or “sniff” traffic that is intended for a different virtual instance. While you can place your interfaces into promiscuous mode, the hypervisor will not deliver any traffic to them that is not addressed to them. Even two virtual instances that are owned by the same customer located on the same physical host cannot listen to each other’s traffic.","https://aws.amazon.com/elasticloadbalancing/","","","","","","","","","","","","","","","","","",""
"10","You are running a web-application on AWS consisting of the following components an Elastic Load Balancer (ELB) an Auto-Scaling Group of EC2 instances running Linux/PHP/Apache, and Relational DataBase Service (RDS) MySQL. Which security measures fall into AWS’s responsibility?","(A)Protect the EC2 instances against unsolicited access by enforcing the principle of least-privilege access (User responsibility)","(B)Protect against IP spoofing or packet sniffing","(C)Assure all communication between EC2 instances and ELB is encrypted (User responsibility)","(D)Install latest security patches on ELB. RDS and EC2 instances (User responsibility)","B","Protect against IP spoofing or packet sniffing
As per the shared responsibility shown below, the users are required to control the EC2 security via security groups and network access control layers. For more information on the Shared Responsibility model, please refer the below URL: https://aws.amazon.com/compliance/shared-responsibility-model/","https://docs.aws.amazon.com/autoscaling/ec2/userguide/AutoScalingGroup.html","","","","","","","","","","","","","","","","","",""
